ID,Slug,Name,Brand,Issues,Priority,"Priority Score","Priority Reason","Current Price",Capacity,Weight,Package,"Image Width","Image Height","Mapped Image Width","Mapped Image Height","Current Image URL","Source URL",Price,PriceMap,"Replacement Image URL",Notes
543,bottrettuongnoingoaithatmaxilitetudulux,"Bột trét tường Nội &amp; Ngoại thất Maxilite từ Dulux",maxilite,missing_price|low_res,Cao,80,"co nguon hang, 1 quy cach, anh rat nho",,,40kg,,160,160,0,0,http://localhost:8080/wp-content/uploads/2026/02/160x160-7.png,https://www.dulux.vn/vi/san-pham/bột-trét-tường-nội-ngoại-thất-maxilite-từ-dulux,,,,"Review anh: uu tien doi anh lon hon / doi map local neu co."
575,duluxweathershieldcolourprotectbematbong,"Dulux Weathershield Colour Protect Bề Mặt Bóng",dulux,missing_price|low_res,Cao,80,"co nguon hang, 1 quy cach, anh rat nho",,2L,,,160,160,0,0,http://localhost:8080/wp-content/uploads/2026/02/packshot_medium-293.png,https://www.dulux.vn/vi/san-pham/dulux-weathershield-colour-protect-bề-mặt-bóng,,,,"Review anh: uu tien doi anh lon hon / doi map local neu co."
537,duluxweathershieldcolourprotectbematmo,"Dulux Weathershield Colour Protect Bề Mặt Mờ",dulux,missing_price|low_res,Cao,80,"co nguon hang, 1 quy cach, anh rat nho",,2L,,,160,160,0,0,http://localhost:8080/wp-content/uploads/2026/02/packshot_medium-278.png,https://www.dulux.vn/vi/san-pham/dulux-weathershield-colour-protect-bề-mặt-mờ,,,,"Review anh: uu tien doi anh lon hon / doi map local neu co."
607,sonnuocngoaithatmaxilitetoughtudulux_bematmo,"Sơn nước ngoại thất Maxilite Tough từ Dulux bề mặt mờ",maxilite,low_res,Cao,78,"co nguon hang, it loi kem theo, anh rat nho",592000,"5L | 18L",,,160,160,0,0,http://localhost:8080/wp-content/uploads/2026/02/packshot_medium-306.png,https://www.dulux.vn/vi/san-pham/sơn-nước-ngoại-thất-maxilite-tough-từ-dulux-bề-mặt-mờ,,,,"Review anh: uu tien doi anh lon hon / doi map local neu co."
525,sonnuocnoithatmaxilitehi-covertudulux,"Sơn nước nội thất Maxilite Hi-Cover từ Dulux",maxilite,low_res,Cao,78,"co nguon hang, it loi kem theo, anh rat nho",262000,"5L | 18L",,,160,160,0,0,http://localhost:8080/wp-content/uploads/2026/02/packshot_medium-14.jpg,https://www.dulux.vn/vi/san-pham/sơn-nước-nội-thất-maxilite-hi-cover-từ-dulux,,,,"Review anh: uu tien doi anh lon hon / doi map local neu co."
605,sonnuocnoithatmaxilitetotaltuduluxbematmo,"Sơn nước nội thất Maxilite Total từ Dulux Bề Mặt Mờ",maxilite,low_res,Cao,78,"co nguon hang, it loi kem theo, anh rat nho",442500,"5L | 18L",,,160,160,0,0,http://localhost:8080/wp-content/uploads/2026/02/packshot_medium-305.png,https://www.dulux.vn/vi/san-pham/sơn-nước-nội-thất-maxilite-total-từ-dulux-bề-mặt-mờ,,,,"Review anh: uu tien doi anh lon hon / doi map local neu co."
531,bottretcaocapdulux,"Bột trét cao cấp Dulux",dulux,missing_price|low_res,Cao,70,"co nguon hang, anh rat nho, nhom anh Akzo can xu ly",,,"10kg | 40kg",,160,160,0,0,http://localhost:8080/wp-content/uploads/2026/02/packshot_medium-275.png,https://www.dulux.vn/vi/san-pham/bột-trét-cao-cấp-dulux,,,,"Review anh: uu tien doi anh lon hon / doi map local neu co."
583,chatchongthamduluxaquatechchongthamvuottroi,"Chất chống thấm Dulux Aquatech Chống Thấm Vượt Trội",dulux,missing_price|low_res,Cao,70,"co nguon hang, anh rat nho, nhom anh Akzo can xu ly",,,"1kg | 10kg",,160,160,0,0,http://localhost:8080/wp-content/uploads/2026/02/packshot_medium-297.png,https://www.dulux.vn/vi/san-pham/chất-chống-thấm-dulux-aquatech-chống-thấm-vượt-trội,,,,"Review anh: uu tien doi anh lon hon / doi map local neu co."
541,duluxambiance5in1diamondglow-sieubong,"Dulux Ambiance 5in1 Diamond Glow Siêu bóng",dulux,missing_price|low_res,Cao,70,"co nguon hang, anh rat nho, nhom anh Akzo can xu ly",,"1L | 2L | 5L | 15L",,,160,160,0,0,http://localhost:8080/wp-content/uploads/2026/02/packshot_medium-280.png,https://www.dulux.vn/vi/san-pham/dulux-ambiance-5in1-diamond-glow-siêu-bóng,,,,"Review anh: uu tien doi anh lon hon / doi map local neu co."
549,duluxambiance5in1pearlglow-bongmo,"Dulux Ambiance 5in1 Pearl Glow Bề mặt mờ",dulux,missing_price|low_res,Cao,70,"co nguon hang, anh rat nho, nhom anh Akzo can xu ly",,"1L | 2L | 5L | 15L",,,160,160,0,0,http://localhost:8080/wp-content/uploads/2026/02/packshot_medium-283.png,https://www.dulux.vn/vi/san-pham/dulux-ambiance-5in1-pearl-glow-bóng-mờ,,,,"Review anh: uu tien doi anh lon hon / doi map local neu co."
